"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"药房网APP","店铺模块","","1","0","6","0","0"
"","","","11","1","21","0","0"
"药房网APP","收货地址模块","","2","0","2","0","0"
"药房网APP","搜索模块","","0","0","5","0","0"
"药房网APP","登录模块","","0","0","1","0","0"
"药房网APP","添加地址模块","","0","0","1","0","0"
"","查询药品","","0","1","3","0","0"
"药房网APP","购物车模块","","3","0","4","0","0"
"药房网APP","比价","","0","4","0","0","0"
"药房网APP","查询药品模块","","0","1","3","0","0"
"药房网APP","订单模块","","5","0","1","0","0"
"药房网APP","搜索比价模块","","0","0","2","0","0"
"药房网APP","查看地址模块","","1","0","4","0","0"
"药房网APP","删除地址模块","","0","0","1","0","0"
"药房网APP","我的模块","","1","0","4","0","0"
